iter	Logloss
0	0.6911096549
1	0.6890759554
2	0.6864732053
3	0.6846604363
4	0.6826164929
5	0.6804869664
6	0.6786478196
7	0.6769301235
8	0.6743679828
9	0.6721801649
10	0.6703054667
11	0.6679752278
12	0.6665999508
13	0.665182348
14	0.6633302111
15	0.6621627886
16	0.6603078567
17	0.6587352302
18	0.657055069
19	0.6558854037
20	0.6546377501
21	0.6534016939
22	0.6527168739
23	0.6514389543
24	0.650229514
25	0.6491769033
26	0.6476630473
27	0.6469124109
28	0.6459025965
29	0.6450926864
30	0.6443479372
31	0.6435107223
32	0.6422126433
33	0.6411408592
34	0.6403649675
35	0.638755395
36	0.6373191398
37	0.6364543394
38	0.6354469177
39	0.6349851853
40	0.6341515116
41	0.6331102065
42	0.6319560865
43	0.6309711948
44	0.6301930191
45	0.6295992155
46	0.628792868
47	0.627560646
48	0.6269414543
49	0.6263851146
50	0.6255892007
51	0.624921341
52	0.6245325926
53	0.6239311605
54	0.6234046764
55	0.6226193723
56	0.6216699675
57	0.6211235112
58	0.62059511
59	0.6196013177
60	0.6189966429
61	0.6182474692
62	0.6170417379
63	0.6164586624
64	0.6157192999
65	0.6147868617
66	0.6142350489
67	0.6135754557
68	0.6129880059
69	0.6125203401
70	0.6119077869
71	0.611298434
72	0.6104481
73	0.6097282796
74	0.6088988118
75	0.6082275831
76	0.6074464163
77	0.6069898576
78	0.6065246904
79	0.6061370469
80	0.6055294136
81	0.6048900296
82	0.6044215184
83	0.6037136719
84	0.6026644929
85	0.6023223735
86	0.6018245835
87	0.6010261696
88	0.6008956217
89	0.6003708543
90	0.6001946919
91	0.5996143621
92	0.5991933093
93	0.5986131583
94	0.5982148094
95	0.5978727181
96	0.5971907116
97	0.5968660619
98	0.5961318602
99	0.5957419696
100	0.5954648717
101	0.5947850715
102	0.5940062696
103	0.5936321244
104	0.5931953403
105	0.5921484178
106	0.591518331
107	0.5911739973
108	0.5908035042
109	0.5901948361
110	0.5893816203
111	0.5889378882
112	0.5883766987
113	0.5880321487
114	0.5871547099
115	0.5867946533
116	0.5862241654
117	0.5857970328
118	0.5853985363
119	0.5850823353
120	0.5845824701
121	0.5838193578
122	0.5829413472
123	0.5824683887
124	0.5816426011
125	0.580524786
126	0.5798714676
127	0.5794636962
128	0.5785666248
129	0.5781320819
130	0.5778208457
131	0.57707947
132	0.5766465616
133	0.5761537049
134	0.57559905
135	0.5751395659
136	0.5746396884
137	0.5742962717
138	0.5734433531
139	0.5729632804
140	0.5725443602
141	0.5717548137
142	0.5714034753
143	0.5705577967
144	0.5701556266
145	0.5697295614
146	0.5693483856
147	0.5684803209
148	0.5679308592
149	0.5675906354
150	0.5671186957
151	0.5665483052
152	0.565879415
153	0.565663544
154	0.5650951561
155	0.564831088
156	0.5645159205
157	0.5641179914
158	0.5637362512
159	0.562854871
160	0.5625519033
161	0.5621565169
162	0.5617745062
163	0.5614681523
164	0.5610666104
165	0.5604773652
166	0.5601309312
167	0.5600336584
168	0.5595315866
169	0.5590929149
170	0.5584948457
171	0.55801538
172	0.5577665235
173	0.557330161
174	0.5571005177
175	0.5569771993
176	0.5564949429
177	0.5561257508
178	0.5558503885
179	0.5552954693
180	0.5545741726
181	0.5541388803
182	0.5536331244
183	0.5534348264
184	0.5527660751
185	0.5522493256
186	0.5519657856
187	0.5514285032
188	0.5507441075
189	0.5504582643
190	0.5498611152
191	0.5493529584
192	0.5491538821
193	0.5490771268
194	0.5487086419
195	0.5482202987
196	0.548049158
197	0.547586323
198	0.5469198938
199	0.5464662891
200	0.5463027438
201	0.5457099672
202	0.5452540867
203	0.5445296774
204	0.544278768
205	0.5438898917
206	0.543496653
207	0.5427624984
208	0.5424280529
209	0.5418691433
210	0.5413856725
211	0.5409445173
212	0.5402945268
213	0.5399995682
214	0.5397957709
215	0.5392344356
216	0.5387291148
217	0.5383733457
218	0.5380924363
219	0.5376612174
220	0.5372141559
221	0.5364242935
222	0.5361080239
223	0.5356811191
224	0.5352393353
225	0.5346016586
226	0.5343838986
227	0.5338409793
228	0.5334267073
229	0.5332515926
230	0.532746972
231	0.5325026978
232	0.5318984328
233	0.5314754447
234	0.531044351
235	0.530648539
236	0.5301637812
237	0.52920637
238	0.5285081829
239	0.5279112277
240	0.52748963
241	0.5268257721
242	0.5263959532
243	0.5257350393
244	0.5253826411
245	0.5248891747
246	0.5244760444
247	0.5231531007
248	0.5223081859
249	0.521942275
250	0.5212748925
251	0.5207018477
252	0.5202454336
253	0.5196754664
254	0.5189526945
255	0.5183737097
256	0.5180109731
257	0.5175798959
258	0.5171480686
259	0.5167683536
260	0.5162459709
261	0.5159361947
262	0.5154886646
263	0.5152581361
264	0.5147103079
265	0.5144708705
266	0.5141321867
267	0.5133364854
268	0.512658632
269	0.5122127613
270	0.5115052448
271	0.5109257431
272	0.5103937633
273	0.5099551824
274	0.5093040627
275	0.5086863153
276	0.5082966693
277	0.5075751391
278	0.5065540476
279	0.5058780398
280	0.505225449
281	0.5045706991
282	0.5036282271
283	0.5026247959
284	0.5023142187
285	0.5014537442
286	0.5008628603
287	0.4998221118
288	0.4992956007
289	0.4988225337
290	0.4978763616
291	0.4969497388
292	0.4963600959
293	0.4955445745
294	0.4951726729
295	0.4944565809
296	0.4936216212
297	0.4927556316
298	0.49218721
299	0.4914954133
